Unit_Id,Institution_name,foreign_2018,total_2018,foreign_2019,total_2019,foreign_2020,total_2020,intl_ratio_2018,intl_ratio_2019,intl_ratio_2020
133669,Florida Atlantic University,31,3163,37,3283,80,4252,0.0098008220044261771,0.011270179713676515,0.01881467544684854
122436,University of San Diego,53,1310,37,1142,27,997,0.040458015267175573,0.032399299474605951,0.027081243731193579
243780,Purdue University-Main Campus,792,8491,1061,8195,883,8982,0.093275232599222713,0.12946918852959122,0.098307726564239584
134945,Jacksonville University,39,624,38,657,36,686,0.0625,0.0578386605783866,0.052478134110787174
161004,Bowdoin College,46,510,40,498,36,463,0.090196078431372548,0.080321285140562249,0.07775377969762419
152318,Rose-Hulman Institute of Technology,81,499,41,496,43,531,0.16232464929859719,0.082661290322580641,0.080979284369114876
160977,Bates College,0,543,41,499,43,479,0.0,0.082164328657314628,0.089770354906054284
120254,Occidental College,39,566,42,562,24,402,0.068904593639575976,0.074733096085409248,0.059701492537313432
157447,Northern Kentucky University,28,1980,48,1950,43,1836,0.014141414141414142,0.024615384615384615,0.023420479302832243
159717,McNeese State University,40,1373,48,1215,39,1231,0.029133284777858703,0.039506172839506172,0.031681559707554832
139931,Georgia Southern University,56,4345,50,4253,34,5341,0.012888377445339471,0.011756407241946862,0.00636584909193035
110662,University of California-Los Angeles,707,6240,562,5919,599,6386,0.11330128205128205,0.094948471025511072,0.093798935170685882
240453,University of Wisconsin-Milwaukee,57,3983,52,3761,47,3249,0.014310820989204118,0.013826110077107153,0.014465989535241613
163268,University of Maryland-Baltimore County,61,1794,53,1701,80,1675,0.034002229654403568,0.03115814226925338,0.047761194029850747
110565,California State University-Fullerton,113,4408,54,4778,27,5425,0.025635208711433755,0.011301799916282964,0.0049769585253456221
240365,University of Wisconsin-Oshkosh,41,2406,54,2165,44,1854,0.017040731504571905,0.024942263279445726,0.023732470334412083
122931,Santa Clara University,110,1392,54,1391,84,1259,0.079022988505747127,0.038820992092020126,0.066719618745035736
220978,Middle Tennessee State University,46,2897,57,3312,59,3093,0.015878494994822231,0.017210144927536232,0.019075331393469123
156365,Campbellsville University,52,666,57,664,50,689,0.078078078078078081,0.0858433734939759,0.072568940493468792
157085,University of Kentucky,73,5077,58,5348,50,4891,0.014378570021666339,0.010845175766641735,0.010222858311183807
207582,Oral Roberts University,0,573,58,554,51,643,0.0,0.10469314079422383,0.079315707620528766
215062,University of Pennsylvania,324,2510,314,2389,261,2316,0.12908366533864543,0.13143574717455003,0.11269430051813471
239017,Lawrence University,55,400,59,386,42,377,0.1375,0.15284974093264247,0.11140583554376658
121619,Santa Ana College,76,4429,62,3741,46,2144,0.017159629713253556,0.016573108794439989,0.021455223880597014
112260,Claremont McKenna College,57,325,62,328,47,315,0.17538461538461539,0.18902439024390244,0.1492063492063492
122977,Santa Monica College,807,5382,830,5466,413,4790,0.14994425863991082,0.15184778631540433,0.08622129436325679
120403,Otis College of Art and Design,59,277,63,274,43,225,0.21299638989169675,0.22992700729927007,0.19111111111111112
211291,Bucknell University,72,974,64,964,52,986,0.073921971252566734,0.066390041493775934,0.052738336713995942
131520,Howard University,24,1501,66,1925,101,2360,0.015989340439706862,0.034285714285714287,0.042796610169491524
121150,Pepperdine University,97,803,66,726,50,733,0.12079701120797011,0.090909090909090912,0.068212824010914053
211440,Carnegie Mellon University,285,1572,322,1585,304,1637,0.18129770992366412,0.20315457413249211,0.18570555894929749
230597,Snow College,71,1512,67,1433,36,1469,0.046957671957671955,0.046755059316120028,0.024506466984343091
129525,University of Hartford,33,1220,67,1234,40,1141,0.027049180327868853,0.054294975688816853,0.035056967572304996
121345,Pomona College,0,412,70,416,70,399,0.0,0.16826923076923078,0.17543859649122806
151111,Indiana University-Purdue University-Indianapolis,94,4103,72,4295,55,3811,0.022910065805508164,0.016763678696158323,0.014431907635791131
238032,West Virginia University,81,4732,73,4949,39,4494,0.017117497886728655,0.014750454637300466,0.008678237650200267
228723,Texas A & M University-College Station,133,11133,74,10613,72,11110,0.011946465463037816,0.0069725807971355884,0.0064806480648064808
207388,Oklahoma State University-Main Campus,128,4166,74,4183,60,4154,0.030724915986557848,0.017690652641644752,0.014443909484833895
130590,Trinity College,89,579,74,580,73,572,0.153713298791019,0.12758620689655173,0.12762237762237763
150400,DePauw University,78,564,74,423,72,382,0.13829787234042554,0.17494089834515367,0.18848167539267016
122755,San Jose State University,109,3774,75,3964,58,3328,0.028881822999470057,0.018920282542885972,0.017427884615384616
163286,University of Maryland-College Park,165,6075,76,5340,63,5369,0.027160493827160494,0.014232209737827715,0.011734028683181226
133881,Florida Institute of Technology,76,784,77,668,108,689,0.096938775510204078,0.11526946107784432,0.15674891146589259
218663,University of South Carolina-Columbia,49,5854,78,6286,52,5742,0.0083703450632046459,0.012408526885141585,0.0090560780215952624
228875,Texas Christian University,108,2194,78,2159,58,2287,0.049225159525979945,0.036127836961556276,0.025360734586794928
230047,Brigham Young University-Hawaii,84,533,79,524,160,649,0.1575984990619137,0.15076335877862596,0.24653312788906009
